cod_postal,poblacion,provinciaid,provincia
02142,Mullidar,02,Albacete
02612,Munera,02,Albacete
02246,Navas De Jorquera,02,Albacete
02530,Nerpio,02,Albacete
02652,Ontur,02,Albacete
02611,Ossa De Montiel,02,Albacete
02213,Pared La,02,Albacete
02136,Paterna De Madera,02,Albacete
02120,PeNas De San Pedro,02,Albacete
02313,PeNascosa,02,Albacete
02692,Petrola,02,Albacete
02311,Povedilla,02,Albacete
02510,Pozo Bueno,02,Albacete
02141,Pozohondo,02,Albacete
02154,Pozo-lorente,02,Albacete
02316,Reolid,02,Albacete
02450,Riopar,02,Albacete
02630,Roda La,02,Albacete
02328,Santa Ana,02,Albacete
02435,Socovos,02,Albacete
02100,Tarazona De La Mancha,02,Albacete
02155,Tinajeros,02,Albacete
02161,Tiriez,02,Albacete
02500,Tobarra,02,Albacete
02485,Tus,02,Albacete
02150,Valdeganga,02,Albacete
02315,Vianos,02,Albacete
02636,Villalgordo Del Jucar,02,Albacete
02270,Villamalea,02,Albacete
02350,Villapalacios,02,Albacete
02695,Villar De Chinchilla,02,Albacete
02600,Villarrobledo,02,Albacete
02310,Viveros,02,Albacete
02480,Yeste,02,Albacete
03517,Abdet,03,Alicante/Alacant
03726,Abiar L Partida,03,Alicante/Alacant
03100,Abio,03,Alicante/Alacant
03710,Adelfas Las Urbanizacion,03,Alicante/Alacant
03786,Adsubia ajuntament Adsubia,03,Alicante/Alacant
03739,Adsubia ajuntament Xabia/javea,03,Alicante/Alacant
03730,Aduanas De Mar,03,Alicante/Alacant
03698,Agost,03,Alicante/Alacant
03837,Agres,03,Alicante/Alacant
03600,Agualejas,03,Alicante/Alacant
03610,Aguarrios Zona,03,Alicante/Alacant
03569,AigUes,03,Alicante/Alacant
03570,Aixihuili Partida,03,Alicante/Alacant
03000,Alacant/alicante ver Callejero,03,Alicante/Alacant
03839,Albaida De Puerto,03,Alicante/Alacant
03340,Albatera,03,Alicante/Alacant
03349,Albatera-catral De Estacion,03,Alicante/Alacant
03520,Alberca La Urbanizacion,03,Alicante/Alacant
03581,Albir L Nucleo,03,Alicante/Alacant
03313,Alcachofar,03,Alicante/Alacant
03788,Alcala De La Jovada,03,Alicante/Alacant
03728,Alcalali,03,Alicante/Alacant
03669,Alcana,03,Alicante/Alacant
03724,Alcasar,03,Alicante/Alacant
03841,Alcocer De Planes,03,Alicante/Alacant
03814,Alcoleja,03,Alicante/Alacant
03699,Alcoraya La,03,Alicante/Alacant
03108,Alcoyes,03,Alicante/Alacant
03829,Alcudia,03,Alicante/Alacant
03759,Aldea De Las Cuevas Urbanizacion,03,Alicante/Alacant
03838,Alfafara,03,Alicante/Alacant
03580,AlfAs Del Pi L,03,Alicante/Alacant
03518,Algar El Partida,03,Alicante/Alacant
03820,Algars,03,Alicante/Alacant
03296,Algoda,03,Alicante/Alacant
03169,Algorfa,03,Alicante/Alacant
03668,AlgueNa,03,Alicante/Alacant
03599,Alhama Springs Urbanizacion,03,Alicante/Alacant
03109,Aljibe El Urbanizacion,03,Alicante/Alacant
03560,Alkabir Urbanizacion,03,Alicante/Alacant
03779,Almadrava Playa,03,Alicante/Alacant
03503,Almafra Partida,03,Alicante/Alacant
03110,Almajada La Urbanizacion,03,Alicante/Alacant
03360,Almajal Cami,03,Alicante/Alacant
03149,Almarjal,03,Alicante/Alacant
03191,Almazara La Caserio,03,Alicante/Alacant
03510,Almedia,03,Alicante/Alacant
03738,Almendros javea/xabia Urbanitzacio,03,Alicante/Alacant
03189,Almendros Los orihuela-costa Urbanizacion,03,Alicante/Alacant
03160,Almoradi,03,Alicante/Alacant
03649,Almorqui Casa,03,Alicante/Alacant
03827,Almudaina,03,Alicante/Alacant
03640,Alquebla Partida,03,Alicante/Alacant
03749,Alqueria Gasens,03,Alicante/Alacant
03590,Altea,03,Alicante/Alacant
03195,Altet El,03,Alicante/Alacant
03700,Altomira,03,Alicante/Alacant
03339,Amoros Partida,03,Alicante/Alacant
03311,Aparecida La,03,Alicante/Alacant
03530,Arcos Este Urbanizacion,03,Alicante/Alacant
03312,Arneva,03,Alicante/Alacant
03315,Asensios Los Caserio,03,Alicante/Alacant
03680,Aspe,03,Alicante/Alacant
03795,Aspre Partida,03,Alicante/Alacant
03114,Bacarot,03,Alicante/Alacant
03369,Baden El Partida,03,Alicante/Alacant
03720,Baladrar Partida,03,Alicante/Alacant
03812,Balones,03,Alicante/Alacant
03469,Balsa La Partida,03,Alicante/Alacant
03450,Banyeres De Mariola,03,Alicante/Alacant
03679,BaNos Nuestra SeNora De Orito,03,Alicante/Alacant
03689,Barbarroja,03,Alicante/Alacant
03750,Barranco Parra,03,Alicante/Alacant
03139,Barrio Alto,03,Alicante/Alacant
03325,Barrio Carretera campaneta,03,Alicante/Alacant
03292,Bayas Las,03,Alicante/Alacant
03460,Beneixama,03,Alicante/Alacant
03390,Benejuzar,03,Alicante/Alacant
03316,Benferri,03,Alicante/Alacant
03828,Benialfaqui,03,Alicante/Alacant
03778,Beniarbeig,03,Alicante/Alacant
03850,Beniarres,03,Alicante/Alacant
03816,Benifallim,03,Alicante/Alacant
03794,Benigembla,03,Alicante/Alacant
03178,Benijofar,03,Alicante/Alacant
03810,Benilloba,03,Alicante/Alacant
03550,Benimagrell,03,Alicante/Alacant
03516,Benimantell,03,Alicante/Alacant
03709,Benimaquia Partida,03,Alicante/Alacant
03725,Benimarco Partida,03,Alicante/Alacant
03791,Benimaurell,03,Alicante/Alacant
03769,Benimeli,03,Alicante/Alacant
03370,Benitos Los,03,Alicante/Alacant
03410,Biar,03,Alicante/Alacant
03380,Bigastro,03,Alicante/Alacant
03187,Blanque Lo,03,Alicante/Alacant
03159,Bodega La dolores,03,Alicante/Alacant
03317,Bodega La orihuela,03,Alicante/Alacant
03740,Bolerias,03,Alicante/Alacant
03690,Boqueres,03,Alicante/Alacant
03130,Bras Del Port,03,Alicante/Alacant
03322,Brunete Vereda,03,Alicante/Alacant
03111,Busot,03,Alicante/Alacant
03659,Caballusa La,03,Alicante/Alacant
03540,Cabo De Las Huertas,03,Alicante/Alacant
03658,Camarillas,03,Alicante/Alacant
03660,Campet,03,Alicante/Alacant
03819,Canaleta La,03,Alicante/Alacant
03688,Canalosa La,03,Alicante/Alacant
03409,CaNada,03,Alicante/Alacant
03657,Capellania,03,Alicante/Alacant
03811,Capellans,03,Alicante/Alacant
03158,Casicas Las / Casicas,03,Alicante/Alacant
03420,Castalla,03,Alicante/Alacant
03793,Castell De Castells,03,Alicante/Alacant
03737,Catarroja Partida,03,Alicante/Alacant
03140,Chapaprietas Los Partida,03,Alicante/Alacant
03321,Chapitel Vereda,03,Alicante/Alacant
03112,Chareus,03,Alicante/Alacant
03170,Ciudad Quesada,03,Alicante/Alacant
03792,Coll De Rates,03,Alicante/Alacant
03350,Collereros Los,03,Alicante/Alacant
03639,Colonia De Santa Eulalia La,03,Alicante/Alacant
03729,Cometa senija,03,Alicante/Alacant
03310,Correntias Bajas jacarilla,03,Alicante/Alacant
03330,Crevillent,03,Alicante/Alacant
03176,Crispin Lo,03,Alicante/Alacant
03294,Daimes,03,Alicante/Alacant
03177,Daya Vieja,03,Alicante/Alacant
03150,Dolores,03,Alicante/Alacant
03408,Encina La Nucleo,03,Alicante/Alacant
03319,Entrenaranjos / Urb. Entre Naranjos Urbanizacion,03,Alicante/Alacant
03579,EspaNa La Vieja Urbanizacion,03,Alicante/Alacant
03813,Facheca,03,Alicante/Alacant
03291,Ferriol,03,Alicante/Alacant
03509,Figueretes Partida,03,Alicante/Alacant
03113,Foncalent / Font- Calent,03,Alicante/Alacant
03179,Formentera Del Segura,03,Alicante/Alacant
03840,Gaianes,03,Alicante/Alacant
03348,Granja De Rocamora,03,Alicante/Alacant
03300,Huertos Los,03,Alicante/Alacant
03440,Ibi,03,Alicante/Alacant
03295,Jubalcoy,03,Alicante/Alacant
03723,Llosa De Camacho,03,Alicante/Alacant
03194,Marina Del Pinet La,03,Alicante/Alacant
03670,Monforte Del Cid,03,Alicante/Alacant
03115,Monnegre,03,Alicante/Alacant
03789,Monte Pego Urbanizacion,03,Alicante/Alacant
03780,Montepego,03,Alicante/Alacant
03830,Muro De Alcoy,03,Alicante/Alacant
03760,Ondara,03,Alicante/Alacant
03430,Onil,03,Alicante/Alacant
03790,Orba casco Antiguo,03,Alicante/Alacant
03860,Orxa L/lorcha,03,Alicante/Alacant
03203,Parque Industrial De Torrellano,03,Alicante/Alacant
03815,PenAguila / Penaguila,03,Alicante/Alacant
03870,Penella,03,Alicante/Alacant
03190,Pilar De La Horadada,03,Alicante/Alacant
03650,Pinoso,03,Alicante/Alacant
03193,Presidente El / Urbanizacion El Presidente Urbanizacion,03,Alicante/Alacant
03578,Relleu,03,Alicante/Alacant
03318,Rocamora Lo,03,Alicante/Alacant
03638,Salinas,03,Alicante/Alacant
03314,San Bartolome,03,Alicante/Alacant
03559,Santa Faz alicante,03,Alicante/Alacant
03630,Sax,03,Alicante/Alacant
03138,Tabarca,03,Alicante/Alacant
03502,Tolls Partida,03,Alicante/Alacant
03320,Torrellano,03,Alicante/Alacant
03770,Verger El,03,Alicante/Alacant
03400,Villena,03,Alicante/Alacant
03727,Xalo/jalon,03,Alicante/Alacant
04691,Abejuela,04,Almeria
04510,Abla,04,Almeria
04260,Abriojal,04,Almeria
04520,Abrucena,04,Almeria
04692,Aceituno El,04,Almeria
04770,Adra,04,Almeria
04811,Adrianes Los,04,Almeria
04638,Agua Del Medio El,04,Almeria
04720,Aguadulce,04,Almeria
04149,Aguamarga,04,Almeria
04879,Aguamarga urracal,04,Almeria
04271,Alameda La,04,Almeria
04828,Alamicos Los - Dehesa La,04,Almeria
04830,Alara,04,Almeria
04857,Albanchez,04,Almeria
04288,Albarico El,04,Almeria
04116,Albaricoques,04,Almeria
04279,Albarracin,04,Almeria
04531,Alboloduy,04,Almeria
04800,Albox,04,Almeria
04769,Alcaudique,04,Almeria
04778,Alcazaba La,04,Almeria
04480,Alcolea,04,Almeria
04897,Alcontar,04,Almeria
04558,Alcubillas Altas Las,04,Almeria
04276,Alcudia De Monteagud,04,Almeria
04661,Alfoquia La,04,Almeria
04610,Algarrobina La,04,Almeria
04618,Algarrobos Los palomares,04,Almeria
04567,Alhabia,04,Almeria
04400,Alhama De Almeria,04,Almeria
04619,Alhanchete El,04,Almeria
04278,Alias Los,04,Almeria
04409,Alicun,04,Almeria
04814,Aljambra La,04,Almeria
04629,Aljariz,04,Almeria
04650,Almajalejo zurgena,04,Almeria
04815,Almanzora,04,Almeria
04559,Almendral El,04,Almeria
04000,Almeria ver Callejero,04,Almeria
04711,Almerimar,04,Almeria
04289,Almocaizar,04,Almeria
04458,Almocita,04,Almeria
04829,Alqueria La velez Rubio,04,Almeria
04779,Alqueria La venta Nueva,04,Almeria
04130,Alquian El,04,Almeria
04568,Alsodux,04,Almeria
04628,Antas,04,Almeria
04826,Aranegas Los,04,Almeria
04660,Arboleas,04,Almeria
04888,ArmuNa De Almanzora,04,Almeria
04850,Arroyo Aceituno El,04,Almeria
04858,Arroyo Albanchez El,04,Almeria
04550,Arroyo De Verdelecho,04,Almeria
04813,Arroyo Del Saliente El,04,Almeria
04867,Arroyo Franco Y Estella El,04,Almeria
04275,Arroyos Los,04,Almeria
04820,Asensio Los,04,Almeria
04825,Aspilla,04,Almeria
04113,Atochares,04,Almeria
04549,Aulago,04,Almeria
04600,Aznares Los,04,Almeria
04889,Bacares,04,Almeria
04713,Balanegra,04,Almeria
04712,Balerma,04,Almeria
04715,BaNos De Guardias Viejas Los,04,Almeria
04810,Barranco De Quiles El,04,Almeria
04117,Barranquete El,04,Almeria
04450,Barriada De Alcora La,04,Almeria
04738,Barrio De Archilla,04,Almeria
04648,Barrio Mortero,04,Almeria
04479,Bayarcal,04,Almeria
04410,Benahadux,04,Almeria
04569,Bentarique,04,Almeria
04647,Benzal,04,Almeria
04760,Berja,04,Almeria
04120,Bobar El,04,Almeria
04150,Cabo De Gata El,04,Almeria
04827,Cabreras Los,04,Almeria
04420,Calderona La,04,Almeria
04240,Campamento,04,Almeria
04277,Campico,04,Almeria
04110,Campohermoso,04,Almeria
04274,Canal La,04,Almeria
04746,Cantinas Las,04,Almeria
04839,CaNada De CaNepla La,04,Almeria
04140,CaNada De Don Rodrigo La,04,Almeria
04869,CaNada De Las Cruces La,04,Almeria
04640,Caparroses Los pulpi,04,Almeria
04230,Carmen El,04,Almeria
04200,Cartero,04,Almeria
04212,Castro De Filabres,04,Almeria
04887,Cela,04,Almeria
04750,Celin,04,Almeria
04859,Chercos,04,Almeria
04270,Cinta Blanca,04,Almeria
04890,Claveros Los,04,Almeria
04662,Concepcion La,04,Almeria
04114,Cortijillos Los,04,Almeria
04639,Cortijo Grande El,04,Almeria
04532,Cortijo Real,04,Almeria
04741,Cortijos De Marin,04,Almeria
04160,Cuevas De Los Medinas,04,Almeria
04768,Darrical,04,Almeria
04530,DoNa Maria De OcaNa,04,Almeria
04700,Ejido El,04,Almeria
04211,Encalmados Los,04,Almeria
04729,Enix,04,Almeria
04727,Envia La,04,Almeria
04118,Escullos Los,04,Almeria
04649,Estacion La san Miguel De Pulpi,04,Almeria
04151,Fabriquilla La,04,Almeria
04728,Felix,04,Almeria
04500,FiNana,04,Almeria
04460,Fondon,04,Almeria
04693,Fuente Amarga,04,Almeria
04812,Fuente Del Mojon,04,Almeria
04694,Gacia,04,Almeria
04560,Gador,04,Almeria
04280,Gallardos Los,04,Almeria
04630,Garrucha,04,Almeria
04690,GoNar,04,Almeria
04838,Graj,04,Almeria
04899,Hernandez Los los Zoilos,04,Almeria
04898,Hijate El,04,Almeria
04119,Huebro,04,Almeria
04860,Huitar Mayor,04,Almeria
04431,Illar,04,Almeria
04430,Instincion,04,Almeria
04868,Laroya,04,Almeria
04470,Laujar De Andarax,04,Almeria
04210,Lucainena De Las Torres,04,Almeria
04621,Marinas Las,04,Almeria
04740,Marinas Las roquetas De Mar,04,Almeria
04745,Mojonera La,04,Almeria
04533,Monjos Los,04,Almeria
04213,Moraton,04,Almeria
04540,Nacimiento,04,Almeria
04100,Nijar,04,Almeria
04716,Norias De Daza Las,04,Almeria
04459,Ohanes,04,Almeria
04617,Palomares,04,Almeria
04721,Parador El vicar,04,Almeria
04250,Pechina,04,Almeria
04880,Porteros Los tijola,04,Almeria
04870,Purchena,04,Almeria
04440,Ragol,04,Almeria
04710,Redonda La,04,Almeria
04131,Retamar,04,Almeria
04115,Rodalquilar,04,Almeria
04717,San Agustin,04,Almeria
04259,Sierra Alhamilla,04,Almeria
04878,Sierro,04,Almeria
04743,Solanillo El,04,Almeria
04877,Somontin,04,Almeria
04620,Vera,04,Almeria
04616,Villaricos,04,Almeria
05296,Adanero,05,Avila
05430,Adrada La,05,Avila
05370,Ajo El,05,Avila
05516,Alameda La,05,Avila
05160,Alamedilla Del Berrocal,05,Avila
05358,Albornos,05,Avila
05197,Aldea Del Rey NiNo,05,Avila
05520,Aldealabad,05,Avila
05153,Aldealabad Del Miron,05,Avila
05580,Aldeanueva Santa Cruz,05,Avila
05212,Aldeaseca,05,Avila
05193,Aldeavieja,05,Avila
05593,Aldehuela La,05,Avila
05630,Aliseda De Tormes La,05,Avila
05515,Almohalla La,05,Avila
05141,Altamiros,05,Avila
05560,Amavida,05,Avila
05631,Angostura La,05,Avila
05416,Arenal El,05,Avila
05400,Arenas De San Pedro,05,Avila
05200,Arevalo,05,Avila
05279,Atalaya La,05,Avila
05357,Aveinte,05,Avila
05000,Avila ver Callejero,05,Avila
05198,Bandadas,05,Avila
05635,Barajas,05,Avila
05600,Barco De Avila El,05,Avila
05692,Barquillo El,05,Avila
05110,Barraco El,05,Avila
05514,Barrio El,05,Avila
05229,Barroman,05,Avila
05130,Baterna,05,Avila
05610,Becedas,05,Avila
05162,Berlanas Las,05,Avila
05195,Bernuy Salinero,05,Avila
05211,Bernuy- Zapardiel,05,Avila
05194,Berrocalejo De Aragona,05,Avila
05540,Blacha,05,Avila
05147,Blascojimeno,05,Avila
05146,Blascomillan,05,Avila
05299,BlasconuNo De Matacabras,05,Avila
05290,Blascosancho,05,Avila
05165,Bohodon El,05,Avila
05690,Bohoyo,05,Avila
05140,Bularros,05,Avila
05113,Burgohondo,05,Avila
05278,Burguillo El,05,Avila
05190,CabaNas,05,Avila
05697,Cabezas Altas,05,Avila
05217,Cabezas De Alambre,05,Avila
05148,Cabezas Del Villar,05,Avila
05112,Calas Del Burguillo,05,Avila
05693,Canaleja La,05,Avila
05480,Candeleda,05,Avila
05294,CaNada La,05,Avila
05320,CardeNosa,05,Avila
05151,Carpio Medianero,05,Avila
05620,Carrera La,05,Avila
05592,Casas De Navancuerda,05,Avila
05571,Casas Del Puerto De Villatoro,05,Avila
05621,Casas Del Rey,05,Avila
05450,Casavieja,05,Avila
05428,Casillas,05,Avila
05260,Cebreros,05,Avila
05132,Cepeda La Mora,05,Avila
05309,Chaherreros,05,Avila
05149,Cillan,05,Avila
05239,Ciudad Ducal,05,Avila
05192,Colilla La,05,Avila
05289,Cortos,05,Avila
05291,Coto De Puenteviejo,05,Avila
05300,Crespos,05,Avila
05414,Cuevas Del Valle,05,Avila
05215,Donvidas,05,Avila
05696,Encinares,05,Avila
05310,Fontiveros,05,Avila
05427,Fresnedilla,05,Avila
05420,Fuente De La Salud,05,Avila
05134,Garganta Del Villar,05,Avila
05460,Gavilanes,05,Avila
05619,Gilbuena,05,Avila
05380,Gimialcon,05,Avila
05163,Gotarrendura,05,Avila
05417,Guisando,05,Avila
05164,Hernansancho,05,Avila
05268,Herradon De Pinares,05,Avila
05491,Higuera La,05,Avila
05131,Hija De Dios La,05,Avila
05418,Hontanares,05,Avila
05695,Horcajada La,05,Avila
05210,Horcajo De Las Torres,05,Avila
05415,Hornillo El,05,Avila
05250,Hoyo De Pinares El,05,Avila
05123,Hoyocasero,05,Avila
05634,Hoyos Del Collado,05,Avila
05694,Junciana,05,Avila
05213,Langa,05,Avila
05490,Lanzahita,05,Avila
05691,Loros Los,05,Avila
05220,Madrigal De Las Altas Torres,05,Avila
05216,Magazos,05,Avila
05298,Mamblas,05,Avila
05145,Manjabalago,05,Avila
05154,Mercadillo,05,Avila
05461,Mijares,05,Avila
05280,Mingorria,05,Avila
05191,Mironcillo,05,Avila
05410,Mombeltran,05,Avila
05152,Montalbo,05,Avila
05350,MoraNuela,05,Avila
05122,Morisco,05,Avila
05530,MuNogalindo,05,Avila
05301,MuNosancho,05,Avila
05369,Narros Del Castillo,05,Avila
05633,Navacepeda De Tormes,05,Avila
05429,Navahondilla,05,Avila
05196,Navalgrande,05,Avila
05120,Navalmoral,05,Avila
05240,Navalperal De Pinares,05,Avila
05100,Navaluenga,05,Avila
05115,Navarrevisca,05,Avila
05230,Navas Del Marques Las,05,Avila
05214,Pajares De Adaja,05,Avila
05143,Pasarilla Del Rebollar,05,Avila
05150,Pascualcobo,05,Avila
05470,Pedro Bernardo,05,Avila
05500,Piedrahita,05,Avila
05440,Piedralaves,05,Avila
05492,Poyales Del Hoyo,05,Avila
05292,Pozanco,05,Avila
05489,Raso El,05,Avila
05267,San Bartolome De Pinares,05,Avila
05412,San Esteban Del Valle,05,Avila
05111,San Juan De La Nava,05,Avila
05133,San Martin De La Vega Alberche,05,Avila
05166,San Pascual,05,Avila
05413,Santa Cruz Del Valle,05,Avila
05510,Santa Maria Del Berrocal,05,Avila
05270,Tiemblo El,05,Avila
05114,Villanueva De Avila,05,Avila
05591,Villanueva Del Campillo,05,Avila
06730,Acedera,06,Badajoz
06207,Aceuchal,06,Badajoz
06940,Ahillones,06,Badajoz
06840,Alange,06,Badajoz
06170,Albuera La,06,Badajoz
06510,Alburquerque,06,Badajoz
06182,Alcazaba,06,Badajoz
06131,Alconchel,06,Badajoz
06393,Alconera,06,Badajoz
06196,Aldea De Retamal,06,Badajoz
06894,Aljucen,06,Badajoz
06171,Almendral,06,Badajoz
06200,Almendralejo,06,Badajoz
06614,Almorchon,06,Badajoz
06850,Arroyo De San Servan,06,Badajoz
06329,Atalaya,06,Badajoz
06920,Azuaga,06,Badajoz
06519,Bacoco,06,Badajoz
06000,Badajoz ver Callejero,06,Badajoz
06195,Balboa,06,Badajoz
06499,BarbaNo,06,Badajoz
06160,Barcarrota,06,Badajoz
06050,Base Aerea Talavera Real,06,Badajoz
06659,Baterno,06,Badajoz
06389,Bazana La,06,Badajoz
06429,Benquerencia De La Serena,06,Badajoz
06930,Berlanga,06,Badajoz
06250,Bienvenida,06,Badajoz
06394,Bodonal De La Sierra,06,Badajoz
06193,Botoa,06,Badajoz
06370,Burguillos Del Cerro,06,Badajoz
06600,Cabeza Del Buey,06,Badajoz
06293,Cabeza La Vaca,06,Badajoz
06810,Calamonte,06,Badajoz
06292,Calera De Leon,06,Badajoz
06249,Calzadilla De Los Barros,06,Badajoz
06460,Campanario,06,Badajoz
06443,Campillo De Llerena,06,Badajoz
06612,Capilla,06,Badajoz
06929,Cardenchosa La,06,Badajoz
06488,Carmonita,06,Badajoz
06770,Casas De Don Pedro,06,Badajoz
06960,Casas De Reina,06,Badajoz
06680,Castilblanco,06,Badajoz
06718,Castillo De La Encomienda,06,Badajoz
06420,Castuera,06,Badajoz
06105,Cheles,06,Badajoz
06518,Codosera La,06,Badajoz
06410,Conquista,06,Badajoz
06487,Cordobilla De Lacara,06,Badajoz
06469,Coronada La,06,Badajoz
06479,Cristina,06,Badajoz
06820,Don Alvaro,06,Badajoz
06400,Don Benito,06,Badajoz
06710,Entrerrios,06,Badajoz
06197,Entrin Alto,06,Badajoz
06860,Esparragalejo,06,Badajoz
06439,Esparragosa De La Serena,06,Badajoz
06620,Esparragosa De Lares,06,Badajoz
06390,Feria,06,Badajoz
06340,Fregenal De La Sierra,06,Badajoz
06660,Fuenlabrada De Los Montes,06,Badajoz
06240,Fuente De Cantos,06,Badajoz
06980,Fuente Del Arco,06,Badajoz
06360,Fuente Del Maestre,06,Badajoz
06280,Fuentes De Leon,06,Badajoz
06690,Garbayuela,06,Badajoz
06711,Gargaligas,06,Badajoz
06656,Garlitos,06,Badajoz
06870,Garrovilla La,06,Badajoz
